Influencer_name,followers,engagement_rate,avg_likes,avg_comments,category,efficiency_score,category_encoded,efficiency_prob
Influencer_59,185423,6.26,3535,99,food,1,2,0.909865
Influencer_71,790852,4.57,28310,2748,fashion,1,0,0.90628886
Influencer_14,806889,4.54,14798,968,food,1,2,0.90628886
Influencer_63,59871,6.67,2893,210,fitness,1,1,0.85987407
Influencer_97,161196,5.0,2812,166,tech,1,3,0.84519297
Influencer_84,71313,8.31,2845,85,food,1,2,0.3667134
Influencer_18,24247,7.6,1050,70,fitness,0,1,0.2757586
Influencer_26,25538,5.83,731,71,tech,0,3,0.2058916
Influencer_24,31535,4.77,523,25,fashion,0,0,0.07355129
Influencer_3,900159,3.67,12270,884,food,0,2,0.039785996
Influencer_98,357902,3.79,7220,519,travel,0,4,0.039785996
Influencer_40,594128,4.34,8572,345,food,0,2,0.039785996
Influencer_81,613210,3.71,11097,305,food,0,2,0.039785996
Influencer_31,728270,4.4,21718,831,fashion,0,0,0.039785996
Influencer_34,882691,2.58,11574,1049,travel,0,4,0.029543877
Influencer_36,811208,3.09,15637,313,tech,0,3,0.029543877
Influencer_19,720064,3.17,13041,407,food,0,2,0.029543877
Influencer_13,897942,2.15,9566,330,fashion,0,0,0.029543877
Influencer_73,706696,3.51,9543,615,tech,0,3,0.029543877
Influencer_69,631271,2.18,10599,1020,fitness,0,1,0.029543877
Influencer_83,651429,3.22,12489,280,food,0,2,0.029543877
Influencer_48,419400,1.93,4485,339,fashion,0,0,0.029543877
Influencer_45,682669,2.8,12158,983,tech,0,3,0.029543877
Influencer_46,382050,2.8,7504,432,food,0,2,0.029543877
Influencer_55,687976,1.38,7107,654,fashion,0,0,0.029543877
Influencer_65,935933,2.82,20758,1067,travel,0,4,0.029543877
Influencer_20,838646,2.07,5343,287,fashion,0,0,0.029543877
Influencer_25,602661,3.59,14383,1021,food,0,2,0.029543877
Influencer_2,733180,1.98,5487,135,fashion,0,0,0.022467995
Influencer_72,972744,1.22,5374,189,fitness,0,1,0.022467995
Influencer_17,565685,2.36,4306,198,fitness,0,1,0.022467995
Influencer_92,664165,1.39,3613,342,fitness,0,1,0.01975671
Influencer_28,616270,0.88,3553,102,food,0,2,0.014988698
Influencer_78,151262,4.49,2907,200,travel,0,4,0.013732894
Influencer_21,456808,2.39,3305,281,tech,0,3,0.013648103
Influencer_96,448556,1.39,2841,279,fitness,0,1,0.012161672
Influencer_11,206041,4.16,2639,101,fashion,0,0,0.011014148
Influencer_23,135633,3.91,1898,169,travel,0,4,0.011014148
Influencer_10,257840,1.12,2236,217,fashion,0,0,0.010945951
Influencer_43,638147,0.99,2775,257,fashion,0,0,0.010945951
Influencer_91,379496,2.15,3085,123,travel,0,4,0.010338764
Influencer_41,215283,2.89,3413,150,fitness,0,1,0.010126897
Influencer_7,385681,0.94,2852,110,tech,0,3,0.009209392
Influencer_29,548707,1.52,2633,186,tech,0,3,0.008286314
Influencer_100,434374,0.65,2164,130,tech,0,3,0.008286314
Influencer_80,265512,1.17,1548,37,travel,0,4,0.008286314
Influencer_62,91272,0.67,334,11,fashion,0,0,0.008116163
Influencer_56,193506,2.29,1947,148,fashion,0,0,0.008116163
Influencer_76,83074,3.31,1268,111,tech,0,3,0.008116163
Influencer_90,9308,1.27,60,4,fitness,0,1,0.008116163
